Country of Birth,Type of Attendance,,Gender,,,,TOTAL
Pakistan,"2,434","1,400","1,996","1,838",,,"3,834"
Sri Lanka,"3,678","2,292","2,754","3,216",,,"5,970"
Uzbekistan,77,51,56,72,,,128
Countries with fewer than 20 students,22,6,10,18,,,28
Americas,,,,,,,
Argentina,225,219,156,288,,,444
Bermuda,31,10,20,21,,,41
Bolivia,34,27,25,36,,,61
Brazil,537,595,417,715,,,"1,132"
Canada,"1,422","1,169",990,"1,601",,,"2,591"
Chile,335,382,278,439,,,717
Colombia,464,438,388,514,,,902
Costa Rica,13,9,9,13,,,22
Cuba,18,16,17,17,,,34
Ecuador,57,35,42,50,,,92
El Salvador,113,204,131,186,,,317
Guatemala,25,11,16,20,,,36
Guyana,8,12,9,11,,,20
Jamaica,23,34,18,39,,,57
Mexico,121,116,109,128,,,237
Nicaragua,15,24,22,17,,,39
Peru,244,259,216,287,,,503
Trinidad and Tobago,39,33,25,47,,,72
United States of America,"3,830","2,098","2,490","3,438",,,"5,928"
Uruguay,56,83,40,99,,,139
Venezuela,142,110,117,135,,,252
Countries with fewer than 20 students,87,68,65,90,,,155
Sub-Saharan Africa,,,,,,,
Botswana,136,58,92,102,,,194
Burundi,118,73,119,72,,,191
Cameroon,30,15,20,25,,,45
"Congo, Democratic Republic of",424,204,332,296,,,628
"Congo, Republic of",65,39,50,54,,,104
Côte d'Ivoire,67,30,40,57,,,97
Djibouti,16,5,13,8,,,21
Eritrea,144,75,93,126,,,219
Ethiopia,531,304,388,447,,,835
Ghana,294,236,241,289,,,530
Guinea,90,28,42,76,,,118
Kenya,"1,045",623,665,"1,003",,,"1,668"
Liberia,185,161,175,171,,,346
Malawi,32,30,27,35,,,62
Mauritius,519,387,373,533,,,906
Mozambique,33,18,23,28,,,51
Namibia,54,36,34,56,,,90
Nigeria,663,509,564,608,,,"1,172"
Rwanda,83,39,59,63,,,122
Seychelles,49,25,27,47,,,74
Sierra Leone,258,226,227,257,,,484
Somalia,300,248,255,293,,,548
South Africa,"7,964","4,679","5,382","7,261",,,"12,643"
"Southern and East Africa, nec",44,28,33,39,,,72
Tanzania,194,108,122,180,,,302
Uganda,250,122,163,209,,,372
Zambia,218,233,165,286,,,451
Zimbabwe,"2,334","1,795","1,720","2,409",,,"4,129"
Countries with fewer than 20 students,82,66,67,81,,,148
No Information,,,,,,,
Overseas Country not known,"1,109","1,872","1,555","1,426",,,"2,981"
No Information,"2,714","2,092","1,568","3,238",,,"4,806"
,,,,,,,
TOTAL,"703,554","384,296","445,102","642,748",,,"1,087,850"
Total 2018,"702,453","380,080","446,449","636,084",,,"1,082,533"
% change on 2018,0.20%,1.10%,-0.30%,1.00%,,,0.50%
Country of Birth(a),Type of Attendance,,Gender(a),,,,TOTAL
,Full-time,Part-time,Males,Females,"Indeterminate/
Intersex/
Unspecified",,
Australia,"562,558","306,066","345,911","521,327","1,380",,"868,624"
Norfolk Island and Australian External Territories,22,14,13,23,0,,36
Australian Antartic Territory,44,22,18,48,0,,66
Cook Islands,22,37,21,38,0,,59
Fiji,"1,393","1,385",np,"1,752",< 5,,"2,778"
French Polynesia,14,11,8,17,0,,25
Kiribati,19,13,11,21,0,,32
Nauru,12,13,< 5,np,0,,25
New Caledonia,47,20,24,43,0,,67
New Zealand,"11,178","7,673","7,271","11,556",24,,"18,851"
Papua New Guinea,688,715,446,957,0,,"1,403"
Samoa,148,155,np,193,< 5,,303
Solomon Islands,58,54,37,75,0,,112
Tonga,103,124,81,146,0,,227
Vanuatu,22,25,17,30,0,,47
Countries with fewer than 20 students,64,41,44,61,0,,105
Austria,167,124,125,166,0,,291
Belgium,184,103,133,154,0,,287
Denmark,142,111,97,156,0,,253
England,"12,246","8,113","8,265","12,067",27,,"20,359"
Finland,85,94,np,134,< 5,,179
France,691,473,np,694,< 5,,"1,164"
Germany,"1,352","1,160",np,"1,591",< 5,,"2,512"
Iceland,8,14,8,14,0,,22
Ireland,"1,136","1,199",np,"1,426",< 5,,"2,335"
Isle of Man,np,< 5,14,9,0,,23
Jersey,23,16,19,20,0,,39
Luxembourg,16,5,11,10,0,,21
Netherlands,587,441,425,603,0,,"1,028"
Northern Ireland,208,206,np,246,< 5,,414
Norway,101,60,58,103,0,,161
Scotland,"1,306",819,np,"1,249",< 5,,"2,125"
Sweden,266,161,130,297,0,,427
Switzerland,337,240,np,353,< 5,,577
"United Kingdom, Channel Islands and Isle of Man, nfd","3,808","3,948","3,179","4,568",9,,"7,756"
Wales,422,462,352,532,0,,884
Countries with fewer than 20 students,19,7,np,14,< 5,,26
Albania,48,43,28,63,0,,91
Belarus,54,45,36,63,0,,99
Bosnia and Herzegovina,341,359,np,451,< 5,,700
Bulgaria,84,67,52,99,0,,151
Croatia,212,255,np,304,< 5,,467
Cyprus,74,68,63,79,0,,142
Czechia,86,117,np,137,< 5,,203
Estonia,31,33,13,51,0,,64
"Former Yugoslavia, nfd",8,12,13,7,0,,20
Greece,624,329,np,561,< 5,,953
Hungary,196,168,134,230,0,,364
Italy,646,469,491,624,0,,"1,115"
Kosovo,26,16,16,26,0,,42
Latvia,23,29,9,43,0,,52
Lithuania,34,27,21,40,0,,61
Malta,72,60,49,83,0,,132
Moldova,31,28,np,44,< 5,,59
Montenegro,18,18,11,25,0,,36
North Macedonia,241,190,164,267,0,,431
Poland,455,510,np,649,< 5,,965
Portugal,114,129,np,146,< 5,,243
Romania,275,240,197,318,0,,515
Russian Federation,768,662,496,928,6,,"1,430"
Serbia,387,236,247,376,0,,623
Slovakia,62,70,33,99,0,,132
Slovenia,44,36,41,39,0,,80
"South Eastern Europe, nfd",29,49,23,55,0,,78
Spain,219,162,np,227,< 5,,381
Ukraine,237,244,np,329,< 5,,481
Countries with fewer than 20 students,14,11,14,11,0,,25
Algeria,15,20,15,20,0,,35
Bahrain,120,70,97,93,0,,190
Egypt,"1,089",731,930,np,< 5,,"1,820"
Gaza Strip and West Bank,38,30,32,36,0,,68
Iran,"2,850","1,979",np,"2,709",< 5,,"4,829"
Iraq,"2,446","1,206",np,"2,222",< 5,,"3,652"
Israel,464,236,np,356,< 5,,700
Jordan,362,236,301,297,0,,598
Kuwait,270,177,234,213,0,,447
Lebanon,963,664,715,911,< 5,,"1,627"
Libya,85,58,69,74,0,,143
Morocco,38,29,25,42,0,,67
Oman,171,60,93,138,0,,231
Qatar,93,38,61,70,0,,131
Saudi Arabia,775,337,509,603,0,,"1,112"
South Sudan,508,500,625,383,0,,"1,008"
Sudan,"1,065",818,np,"1,009",< 5,,"1,883"
Syria,828,328,np,613,< 5,,"1,156"
Turkey,558,423,np,564,< 5,,981
United Arab Emirates,"1,000",301,np,701,< 5,,"1,301"
Yemen,52,26,41,37,0,,78
Countries with fewer than 20 students,14,7,10,11,0,,21
Brunei Darussalam,150,72,116,106,0,,222
Cambodia,381,192,250,323,0,,573
Indonesia,"1,790",977,"1,211","1,551",5,,"2,767"
Laos,42,45,37,50,0,,87
Malaysia,"4,603","2,414",np,"3,790",< 5,,"7,017"
Myanmar,642,426,454,614,0,,"1,068"
Philippines,"8,374","4,680","5,140","7,906",8,,"13,054"
Singapore,"3,420","1,487",np,"2,578",< 5,,"4,907"
Thailand,"1,538",734,np,"1,489",< 5,,"2,272"
Timor-Leste,34,51,np,50,< 5,,85
Vietnam,"2,581","1,529",np,"2,415",< 5,,"4,110"
China (excludes SARs and Taiwan),"13,580","6,763","8,890","11,444",9,,"20,343"
Hong Kong (SAR of China),"3,542","1,907","2,754",np,< 5,,"5,449"
Japan,"1,184",576,np,"1,082",< 5,,"1,760"
"Korea, Democratic People's Republic of (North)",16,23,11,28,0,,39
"Korea, Republic of (South)","4,017","1,907",np,"3,313",< 5,,"5,924"
Macau (SAR of China),56,26,39,43,0,,82
Mongolia,49,28,26,51,0,,77
Taiwan,"1,108",627,764,971,0,,"1,735"
Countries with fewer than 20 students,11,8,< 5,np,0,,19
Afghanistan,"2,170","1,043",np,"1,858",< 5,,"3,213"
Armenia,19,14,16,17,0,,33
Azerbaijan,21,14,14,21,0,,35
Bangladesh,"1,666","1,210","1,493",np,< 5,,"2,876"
Bhutan,88,47,74,61,0,,135
Georgia,13,9,7,15,0,,22
India,"13,911","8,356","9,928","12,330",9,,"22,267"
Kazakhstan,84,53,43,94,0,,137
Kyrgyzstan,21,14,11,24,0,,35
Maldives,36,22,22,36,0,,58
Nepal,"2,546","1,297",np,"2,270",< 5,,"3,843"
Pakistan,"2,739","1,570","2,246",np,< 5,,"4,309"
Sri Lanka,"3,982","2,519",np,"3,535",< 5,,"6,501"
Uzbekistan,79,56,62,73,0,,135
Countries with fewer than 20 students,21,11,11,21,0,,32
Argentina,242,234,np,307,< 5,,476
Bermuda,31,17,23,25,0,,48
Bolivia,26,34,18,42,0,,60
Brazil,654,746,517,883,0,,"1,400"
Canada,"1,541","1,260",np,"1,774",< 5,,"2,801"
Chile,359,416,304,471,0,,775
Colombia,469,544,np,590,< 5,,"1,013"
Costa Rica,12,8,np,11,< 5,,20
Cuba,25,13,16,22,0,,38
Ecuador,59,54,49,64,0,,113
El Salvador,103,187,np,170,< 5,,290
Guatemala,20,17,13,24,0,,37
Guyana,< 5,np,9,12,0,,21
Jamaica,25,29,22,32,0,,54
Mexico,153,127,125,155,0,,280
Nicaragua,13,23,18,np,< 5,,36
Peru,266,284,np,326,< 5,,550
Trinidad and Tobago,37,37,28,46,0,,74
United States of America,"4,212","2,299","2,724","3,771",16,,"6,511"
Uruguay,62,93,38,117,0,,155
Venezuela,157,133,np,156,< 5,,290
Countries with fewer than 20 students,96,82,81,97,0,,178
Botswana,136,71,106,101,0,,207
Burundi,131,71,126,76,0,,202
Cameroon,31,18,np,26,< 5,,49
"Congo, Democratic Republic of",394,218,318,294,0,,612
"Congo, Republic of",68,26,np,48,< 5,,94
Côte d'Ivoire,66,34,39,61,0,,100
Djibouti,16,6,14,8,0,,22
Eritrea,158,71,96,133,0,,229
Ethiopia,559,329,np,483,< 5,,888
Ghana,339,230,np,309,< 5,,569
Guinea,78,47,40,85,0,,125
Kenya,"1,118",696,np,"1,094",< 5,,"1,814"
Liberia,179,158,165,172,0,,337
Malawi,42,36,30,48,0,,78
Mauritius,507,421,384,544,0,,928
Mozambique,18,25,20,23,0,,43
Namibia,47,46,35,58,0,,93
Nigeria,789,570,657,702,0,,"1,359"
Rwanda,68,50,53,65,0,,118
Seychelles,49,35,29,55,0,,84
Sierra Leone,220,220,207,233,0,,440
Somalia,293,218,237,274,0,,511
South Africa,"7,931","5,005","5,519","7,399",18,,"12,936"
"Southern and East Africa, nec",45,22,25,42,0,,67
Tanzania,226,96,126,196,0,,322
Uganda,266,142,np,231,< 5,,408
Zambia,240,243,187,296,0,,483
Zimbabwe,"2,390","1,828",np,"2,545",< 5,,"4,218"
Countries with fewer than 20 students,89,84,77,96,0,,173
Overseas Country not known,"3,199","2,776","2,337","3,620",18,,"5,975"
No Information,"1,898","1,455",np,"2,118",< 5,,"3,353"
,"723,628","410,005","457,755","674,245","1,627",,"1,133,633"
Total 2019,"703,554","384,296","445,102","641,625","1,123",,"1,087,850"
% change on 2019,2.90%,6.70%,2.80%,5.10%,44.90%,,4.20%
Country of Birth,Type of Attendance,,Gender,,,,TOTAL
,Full-time,Part-time,Males,Females,"Indeterminate/
Intersex/
Unspecified",Not provided,
Australia,"564,907","320,766","349,385","534,107","2,154",27,"885,673"
Norfolk Island and Australian External Territories,17,20,13,24,0,0,37
Australian Antartic Territory,30,10,13,27,0,0,40
Cook Islands,23,34,21,36,0,0,57
Fiji,"1,296","1,475",np,"1,772",<5,0,"2,771"
French Polynesia,16,11,np,21,<5,0,27
Kiribati,13,13,9,17,0,0,26
Nauru,19,11,5,25,0,0,30
New Caledonia,40,27,23,44,0,0,67
New Zealand,"11,048","8,258","7,363","11,899",44,0,"19,306"
Papua New Guinea,711,765,np,"1,008",<5,0,"1,476"
Samoa,156,158,np,215,<5,0,314
"Samoa, American",9,11,10,10,0,0,20
Solomon Islands,56,47,37,66,0,0,103
Tonga,126,122,98,150,0,0,248
Vanuatu,19,22,11,30,0,0,41
Countries with fewer than 20 students,62,32,42,52,0,0,94
Austria,152,140,np,168,<5,0,292
Belgium,183,125,np,171,<5,0,308
Denmark,153,130,np,182,<5,0,283
England,"14,513","9,928","9,928","14,451",62,0,"24,441"
Finland,100,100,np,150,<5,0,200
France,733,484,508,709,0,0,"1,217"
Germany,"1,355","1,143",901,"1,592",5,0,"2,498"
Iceland,12,9,8,13,0,0,21
Ireland,"1,230","1,305",943,"1,585",7,0,"2,535"
Isle of Man,23,12,14,21,0,0,35
Jersey,22,18,16,24,0,0,40
Luxembourg,16,8,13,11,0,0,24
Netherlands,592,472,np,627,<5,0,"1,064"
Northern Ireland,236,239,np,283,<5,0,475
Norway,111,59,59,111,0,0,170
Scotland,"1,302","1,012",948,"1,359",7,0,"2,314"
Sweden,275,169,np,298,<5,0,444
Switzerland,372,247,np,384,<5,0,619
"United Kingdom, Channel Islands and Isle of Man, nfd","2,373","2,646","2,053","2,955",11,0,"5,019"
Wales,410,451,np,526,<5,0,861
Countries with fewer than 20 students,26,14,16,24,0,0,40
Albania,48,39,23,64,0,0,87
Belarus,49,46,38,57,0,0,95
Bosnia and Herzegovina,311,343,np,427,<5,0,654
Bulgaria,76,62,45,93,0,0,138
Croatia,182,250,153,279,0,0,432
Cyprus,81,63,63,81,0,0,144
Czechia,104,122,np,153,<5,0,226
Estonia,35,39,18,56,0,0,74
Greece,640,401,412,624,<5,<5,"1,041"
Hungary,199,189,145,243,0,0,388
Italy,678,536,np,688,<5,0,"1,214"
Kosovo,30,8,13,25,0,0,38
Latvia,32,23,10,45,0,0,55
Lithuania,29,37,20,46,0,0,66
Malta,53,73,44,82,0,0,126
Moldova,28,20,14,34,0,0,48
Montenegro,21,10,9,22,0,0,31
North Macedonia,247,192,167,272,0,0,439
Poland,423,535,np,651,<5,0,958
Portugal,121,128,np,147,<5,0,249
Romania,251,262,np,315,<5,0,513
Russian Federation,793,686,485,986,8,0,"1,479"
Serbia,364,262,np,370,<5,0,626
Slovakia,52,71,32,91,0,0,123
Slovenia,43,34,39,38,0,0,77
"South Eastern Europe, nfd",14,33,15,32,0,0,47
Spain,249,185,np,255,<5,0,434
Ukraine,257,256,np,333,<5,0,513
Countries with fewer than 20 students,12,15,np,14,<5,0,27
Algeria,22,21,21,22,0,0,43
Bahrain,146,66,116,96,0,0,212
Egypt,"1,221",783,"1,005",np,<5,0,"2,004"
Gaza Strip and West Bank,43,23,26,40,0,0,66
Iran,"2,828","2,034","2,095","2,762",5,0,"4,862"
Iraq,"2,534","1,221",np,"2,352",<5,0,"3,755"
Israel,486,225,np,357,<5,0,711
Jordan,333,232,271,294,0,0,565
Kuwait,286,208,247,np,<5,0,494
Lebanon,930,743,np,965,<5,0,"1,673"
Libya,79,66,69,76,0,0,145
Morocco,30,36,25,41,0,0,66
Oman,176,70,96,150,0,0,246
Qatar,101,38,65,74,0,0,139
Saudi Arabia,773,405,544,634,0,0,"1,178"
South Sudan,482,515,591,406,0,0,997
Sudan,961,798,789,963,7,0,"1,759"
Syria,978,399,np,764,<5,0,"1,377"
Turkey,515,417,np,538,<5,0,932
United Arab Emirates,"1,116",384,np,823,<5,0,"1,500"
Yemen,40,36,38,38,0,0,76
Countries with fewer than 20 students,11,10,8,13,0,0,21
Brunei Darussalam,126,88,106,108,0,0,214
Cambodia,371,225,264,332,0,0,596
Indonesia,"1,745","1,101",np,"1,653",<5,0,"2,846"
Laos,41,37,37,41,0,0,78
Malaysia,"4,578","2,639",np,"3,901",<5,0,"7,217"
Myanmar,683,412,np,640,<5,0,"1,095"
Philippines,"8,619","5,292","5,421","8,471",19,0,"13,911"
Singapore,"3,477","1,645",np,"2,732",<5,0,"5,122"
Thailand,"1,535",797,772,"1,555",5,0,"2,332"
Timor-Leste,40,46,28,58,0,0,86
Vietnam,"2,769","1,713","1,852","2,625",5,0,"4,482"
China (excludes SARs and Taiwan),"14,178","7,552","9,314","12,394",22,0,"21,730"
Hong Kong (SAR of China),"3,589","2,090","2,848","2,825",6,0,"5,679"
Japan,"1,254",639,np,"1,171",<5,0,"1,893"
"Korea, Democratic People's Republic of (North)",19,19,15,23,0,0,38
"Korea, Republic of (South)","3,897","2,105",np,"3,379",<5,0,"6,002"
Macau (SAR of China),63,36,43,56,0,0,99
Mongolia,46,31,29,48,0,0,77
Taiwan,"1,053",716,np,986,<5,0,"1,769"
Countries with fewer than 20 students,np,<5,<5,np,0,0,10
Afghanistan,"1,985","1,167",np,"1,863",<5,0,"3,152"
Armenia,17,19,17,19,0,0,36
Azerbaijan,18,18,14,22,0,0,36
Bangladesh,"1,754","1,253","1,543",np,<5,0,"3,007"
Bhutan,97,49,76,70,0,0,146
Georgia,10,10,5,15,0,0,20
India,"15,017","9,528","10,751","13,782",12,0,"24,545"
Kazakhstan,70,63,38,95,0,0,133
Kyrgyzstan,29,17,15,31,0,0,46
Maldives,40,36,38,38,0,0,76
Nepal,"2,510","1,540",np,"2,351",<5,0,"4,050"
Pakistan,"2,996","1,764","2,396",np,<5,0,"4,760"
Sri Lanka,"4,138","2,686","3,055","3,764",5,0,"6,824"
Uzbekistan,78,63,np,84,<5,0,141
Countries with fewer than 20 students,16,16,9,23,0,0,32
Argentina,269,251,np,321,<5,0,520
Bermuda,31,14,20,25,0,0,45
Bolivia,37,25,24,38,0,0,62
Brazil,674,839,np,973,<5,<5,"1,513"
Canada,"1,559","1,365","1,068","1,851",5,0,"2,924"
Chile,359,468,np,507,<5,0,827
Colombia,509,565,437,633,<5,<5,"1,074"
Costa Rica,np,np,10,np,<5,0,20
Cuba,20,16,17,19,0,0,36
Ecuador,62,48,np,66,<5,0,110
El Salvador,125,183,124,184,0,0,308
Guatemala,16,12,12,16,0,0,28
Jamaica,27,35,27,35,0,0,62
Mexico,174,160,158,176,0,0,334
Nicaragua,8,27,16,19,0,0,35
Peru,272,305,np,342,<5,0,577
Trinidad and Tobago,30,42,27,45,0,0,72
United States of America,"4,516","2,521","2,873","4,131",np,<5,"7,037"
Uruguay,52,111,np,121,<5,0,163
Venezuela,178,146,np,174,<5,0,324
Countries with fewer than 20 students,112,100,94,118,0,0,212
Botswana,135,57,np,101,<5,0,192
Burundi,104,79,106,77,0,0,183
Cameroon,28,19,np,23,<5,0,47
"Congo, Democratic Republic of",360,233,np,297,<5,<5,593
"Congo, Republic of",58,32,41,49,0,0,90
Côte d'Ivoire,77,35,37,75,0,0,112
Eritrea,145,99,113,131,0,0,244
Ethiopia,540,322,np,491,<5,0,862
Ghana,322,247,np,300,<5,0,569
Guinea,106,48,47,107,0,0,154
Kenya,"1,125",776,706,"1,190",<5,<5,"1,901"
Liberia,159,147,153,153,0,0,306
Malawi,58,41,36,63,0,0,99
Mauritius,501,485,np,589,<5,0,986
Mozambique,21,20,np,24,<5,0,41
Namibia,54,41,38,57,0,0,95
Nigeria,838,586,685,739,0,0,"1,424"
Rwanda,75,46,49,72,0,0,121
Seychelles,43,43,31,55,0,0,86
Sierra Leone,214,213,np,236,<5,0,427
Somalia,244,240,np,256,<5,0,484
South Africa,"7,649","5,273","5,472","7,420",30,0,"12,922"
"Southern and East Africa, nec",43,18,19,42,0,0,61
Tanzania,266,113,np,226,<5,<5,379
Uganda,267,146,np,248,<5,0,413
Zambia,224,276,189,311,0,0,500
Zimbabwe,"2,237","1,952","1,625","2,558",6,0,"4,189"
Countries with fewer than 20 students,106,103,94,115,0,0,209
Not provided,"5,986","3,629","3,303","6,059",np,<5,"9,615"
,"730,142","432,118","464,238","695,174","2,811",37,"1,162,260"
Total 2020,"723,628","410,005","457,755","674,245","1,627",6,"1,133,633"
% change on 2020,0.90%,5.40%,1.40%,3.10%,72.80%,516.70%,2.50%
Country of Birth,Type of Attendance,,Gender,,,,TOTAL
,Full-time,Part-time,Males,Females,"Indeterminate/
Intersex/
Unspecified",Not provided,
Australia,"522,221","313,838","326,504","506,545","2,998",12,"836,059"
Norfolk Island and Australian External Territories,16,20,11,25,0,0,36
Australian Antartic Territory,28,13,15,26,0,0,41
Cook Islands,16,29,16,29,0,0,45
Fiji,"1,114","1,316",869,"1,556",5,0,"2,430"
Kiribati,12,9,6,15,0,0,21
Nauru,16,12,9,19,0,0,28
New Caledonia,37,27,20,44,0,0,64
New Zealand,"10,335","7,787","6,975","11,087",60,0,"18,122"
Papua New Guinea,577,717,np,887,< 5,0,"1,294"
Samoa,158,163,96,225,0,0,321
"Samoa, American",8,14,14,8,0,0,22
Solomon Islands,34,40,33,41,0,0,74
Tonga,104,119,80,143,0,0,223
Vanuatu,14,23,13,24,0,0,37
Countries with fewer than 20 students,63,41,np,66,< 5,0,104
Austria,142,133,np,164,< 5,0,275
Belgium,180,114,np,162,< 5,0,294
Denmark,138,128,np,157,< 5,0,266
England,"14,330","10,267","10,024","14,482",91,0,"24,597"
Finland,107,75,np,140,< 5,0,182
France,667,505,np,660,< 5,0,"1,172"
Germany,"1,165","1,112",805,"1,460",12,0,"2,277"
Iceland,10,10,9,11,0,0,20
Ireland,"1,132","1,275",886,"1,507",14,0,"2,407"
Isle of Man,23,12,14,21,0,0,35
Jersey,34,16,20,30,0,0,50
Luxembourg,18,6,14,np,< 5,0,24
Netherlands,554,442,np,583,< 5,0,996
Northern Ireland,204,227,166,265,0,0,431
Norway,106,74,61,119,0,0,180
Scotland,"1,281",993,921,"1,346",7,0,"2,274"
Sweden,247,177,np,291,< 5,0,424
Switzerland,345,236,np,356,< 5,0,581
"United Kingdom, Channel Islands and Isle of Man, nfd","1,209","1,434","1,098","1,540",< 5,< 5,"2,643"
Wales,400,376,np,485,< 5,0,776
Countries with fewer than 20 students,17,10,14,13,0,0,27
Albania,44,49,24,69,0,0,93
Belarus,45,40,34,51,0,0,85
Bosnia and Herzegovina,220,332,np,359,< 5,0,552
Bulgaria,76,61,44,93,0,0,137
Croatia,126,224,127,223,0,0,350
Cyprus,77,61,57,81,0,0,138
Czechia,72,104,57,119,0,0,176
Estonia,26,48,16,58,0,0,74
Greece,560,378,np,554,< 5,0,938
Hungary,185,165,129,221,0,0,350
Italy,643,520,np,683,< 5,0,"1,163"
Kosovo,15,18,12,21,0,0,33
Latvia,31,24,6,49,0,0,55
Lithuania,23,35,np,47,< 5,0,58
Malta,48,58,39,67,0,0,106
Moldova,19,21,15,25,0,0,40
Montenegro,21,8,14,15,0,0,29
North Macedonia,221,195,151,265,0,0,416
Poland,343,506,np,579,< 5,0,849
Portugal,106,112,81,137,0,0,218
Romania,230,212,np,268,< 5,0,442
Russian Federation,722,681,475,919,9,0,"1,403"
Serbia,290,238,214,314,0,0,528
Slovakia,44,64,28,80,0,0,108
Slovenia,35,30,36,np,< 5,0,65
"South Eastern Europe, nfd",13,19,11,21,0,0,32
Spain,240,198,np,262,< 5,0,438
Ukraine,233,256,np,317,< 5,0,489
Countries with fewer than 20 students,9,8,7,10,0,0,17
Algeria,17,25,18,24,0,0,42
Bahrain,144,72,112,np,< 5,0,216
Egypt,"1,205",826,np,"1,030",< 5,0,"2,031"
Gaza Strip and West Bank,31,25,25,31,0,0,56
Iran,"2,657","1,967",np,"2,700",< 5,0,"4,624"
Iraq,"2,442","1,244",np,"2,371",< 5,0,"3,686"
Israel,429,234,np,349,< 5,0,663
Jordan,313,227,np,291,< 5,0,540
Kuwait,257,197,np,237,< 5,0,454
Lebanon,888,719,np,944,< 5,0,"1,607"
Libya,82,68,64,86,0,0,150
Morocco,24,34,24,34,0,0,58
Oman,163,77,106,134,0,0,240
Qatar,109,39,65,83,0,0,148
Saudi Arabia,741,418,np,623,< 5,0,"1,159"
South Sudan,403,511,548,np,< 5,0,914
Sudan,786,740,np,863,< 5,0,"1,526"
Syria,"1,010",479,np,862,< 5,0,"1,489"
Tunisia,10,11,9,12,0,0,21
Turkey,435,398,331,502,0,0,833
United Arab Emirates,"1,156",400,699,853,< 5,< 5,"1,556"
Yemen,40,33,39,34,0,0,73
Countries with fewer than 20 students,< 5,< 5,0,< 5,0,0,< 5
Brunei Darussalam,111,89,97,103,0,0,200
Cambodia,329,225,240,314,0,0,554
Indonesia,"1,652","1,089","1,115","1,619",7,0,"2,741"
Laos,34,37,32,39,0,0,71
Malaysia,"4,282","2,543","3,114","3,703",8,0,"6,825"
Myanmar,659,433,np,661,< 5,0,"1,092"
Philippines,"8,114","5,485","5,265","8,308",26,0,"13,599"
Singapore,"3,297","1,649","2,277","2,661",8,0,"4,946"
Thailand,"1,472",804,748,"1,519",9,0,"2,276"
Timor-Leste,40,56,31,65,0,0,96
Vietnam,"2,747","1,768","1,825","2,678",12,0,"4,515"
China (excludes SARs and Taiwan),"13,721","8,007","9,144","12,549",35,0,"21,728"
Hong Kong (SAR of China),"3,396","2,071","2,699","2,756",12,0,"5,467"
Japan,"1,223",700,733,"1,181",9,0,"1,923"
"Korea, Democratic People's Republic of (North)",17,20,14,23,0,0,37
"Korea, Republic of (South)","3,689","2,070","2,428","3,321",np,< 5,"5,759"
Macau (SAR of China),64,45,47,62,0,0,109
Mongolia,47,41,31,57,0,0,88
Taiwan,"1,022",679,np,939,< 5,0,"1,701"
Countries with fewer than 20 students,< 5,< 5,0,< 5,0,0,< 5
Afghanistan,"1,787","1,134",np,"1,764",< 5,0,"2,921"
Armenia,10,17,8,19,0,0,27
Azerbaijan,28,14,12,30,0,0,42
Bangladesh,"1,539","1,309","1,393","1,447",8,0,"2,848"
Bhutan,89,50,66,73,0,0,139
India,"15,090","9,932","10,758","14,240",24,0,"25,022"
Kazakhstan,70,51,35,86,0,0,121
Kyrgyzstan,27,18,16,29,0,0,45
Maldives,40,31,33,38,0,0,71
Nepal,"2,351","1,648","1,626","2,373",0,0,"3,999"
Pakistan,"2,875","1,871",np,"2,476",< 5,0,"4,746"
Sri Lanka,"4,065","2,653","2,967","3,745",6,0,"6,718"
Uzbekistan,71,61,47,85,0,0,132
Countries with fewer than 20 students,22,17,12,27,0,0,39
Argentina,243,247,np,301,< 5,0,490
Bermuda,30,12,21,21,0,0,42
Bolivia,24,33,29,28,0,0,57
Brazil,665,811,np,945,< 5,0,"1,476"
Canada,"1,430","1,323",968,"1,775",10,0,"2,753"
Chile,355,415,np,466,0,< 5,770
Colombia,421,599,np,610,< 5,0,"1,020"
Costa Rica,9,11,13,7,0,0,20
Cuba,21,14,21,14,0,0,35
Ecuador,48,48,39,57,0,0,96
El Salvador,104,162,108,158,0,0,266
Guatemala,16,15,12,19,0,0,31
Jamaica,19,35,23,31,0,0,54
Mexico,175,149,np,174,< 5,0,324
Nicaragua,< 5,np,14,19,0,0,33
Peru,213,293,np,296,< 5,0,506
Trinidad and Tobago,30,33,24,39,0,0,63
United States of America,"4,435","2,504","2,881","4,015",43,0,"6,939"
Uruguay,49,84,35,98,0,0,133
Venezuela,170,159,np,179,< 5,0,329
Countries with fewer than 20 students,121,102,96,127,0,0,223
Botswana,129,75,np,111,< 5,0,204
Burundi,85,78,90,73,0,0,163
Cameroon,28,22,22,28,0,0,50
"Congo, Democratic Republic of",331,259,290,300,0,0,590
"Congo, Republic of",44,34,34,44,0,0,78
Côte d'Ivoire,56,45,np,65,< 5,0,101
Djibouti,10,10,11,9,0,0,20
Eritrea,158,77,87,148,0,0,235
Ethiopia,457,354,np,456,0,< 5,811
Ghana,301,275,253,323,0,0,576
Guinea,99,60,50,109,0,0,159
Kenya,970,804,655,"1,114",5,0,"1,774"
Lesotho,11,9,6,14,0,0,20
Liberia,120,155,140,135,0,0,275
Malawi,60,39,30,69,0,0,99
Mauritius,466,461,np,559,< 5,0,927
Mozambique,21,17,np,22,< 5,0,38
Namibia,55,34,34,55,0,0,89
Nigeria,750,712,np,787,< 5,0,"1,462"
Rwanda,63,55,48,70,0,0,118
